x_axis,y_axis
27.62069630631957,85.54048955440523
27.62273535368041,85.54029107093812
27.619702910517,85.536466240883
27.620539454950,85.538789033890
27.620490022985,85.538297653198
27.585035270365,85.544437920622
27.619543291453,85.542874748972
27.620648775625,85.537560582161
27.561820829328,85.537242381186
27.556283568635,85.578317767478
27.542306460525,85.524907318720
27.575588262159,85.611664799853
27.521799941963,85.509811021032
27.513630612559,85.502612682420
27.509353819835,85.527085511470
27.476327797983,85.324788546216
27.452619017604,85.327362861507
27.461864978452,85.321177052415
27.491834611799,85.313927084299
27.518065627373,85.328842078771
27.839499420504,85.372323153775
27.808911231076,85.351831131389
27.839592729204,85.371533054426
27.821154265441,85.377217387054
27.797304583505,85.419409973197
27.611215503906,85.691501800334
27.580150197952,85.697279438818
27.579372327316,85.725477823480
27.574316932542,85.718207437484
27.838387587826,85.596308195601
27.821075009562,85.572257736315
27.840078743544,85.646289045932
27.813235156497,85.596421393501
27.755867899009,85.645473799107
27.737745454698,85.676411312138
27.726710438535,85.663242753689
27.761903002987,85.657591387345
